,affected_individuals,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,other_relevant_information,not_humanitarian
affected_individuals,0.42857142857142855,0.2857142857142857,0.0,0.0,0.2857142857142857
infrastructure_and_utility_damage,0.0,0.9615384615384616,0.01282051282051282,0.0,0.02564102564102564
rescue_volunteering_or_donation_effort,0.031746031746031744,0.023809523809523808,0.9126984126984127,0.0,0.031746031746031744
other_relevant_information,0.03404255319148936,0.00851063829787234,0.00425531914893617,0.8893617021276595,0.06382978723404255
not_humanitarian,0.03373015873015873,0.005952380952380952,0.027777777777777776,0.051587301587301584,0.8809523809523809
