,affected_individuals,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,other_relevant_information,not_humanitarian
affected_individuals,1.0,0.0,0.0,0.0,0.0
infrastructure_and_utility_damage,0.038461538461538464,0.8717948717948718,0.02564102564102564,0.02564102564102564,0.038461538461538464
rescue_volunteering_or_donation_effort,0.10317460317460317,0.015873015873015872,0.8571428571428571,0.007936507936507936,0.015873015873015872
other_relevant_information,0.02553191489361702,0.00425531914893617,0.00425531914893617,0.9148936170212766,0.05106382978723404
not_humanitarian,0.07341269841269842,0.001984126984126984,0.021825396825396824,0.05952380952380952,0.8432539682539683
