,affected_individuals,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,other_relevant_information,not_humanitarian
affected_individuals,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285
infrastructure_and_utility_damage,0.0,0.9358974358974359,0.01282051282051282,0.01282051282051282,0.038461538461538464
rescue_volunteering_or_donation_effort,0.0,0.031746031746031744,0.9047619047619048,0.007936507936507936,0.05555555555555555
other_relevant_information,0.0,0.00851063829787234,0.00425531914893617,0.9191489361702128,0.06808510638297872
not_humanitarian,0.007936507936507936,0.011904761904761904,0.023809523809523808,0.057539682539682536,0.8988095238095238
