,affected_individuals,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,other_relevant_information,not_humanitarian
affected_individuals,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285
infrastructure_and_utility_damage,0.0,0.8974358974358975,0.038461538461538464,0.01282051282051282,0.05128205128205128
rescue_volunteering_or_donation_effort,0.047619047619047616,0.007936507936507936,0.8809523809523809,0.007936507936507936,0.05555555555555555
other_relevant_information,0.03404255319148936,0.00425531914893617,0.00425531914893617,0.8765957446808511,0.08085106382978724
not_humanitarian,0.041666666666666664,0.003968253968253968,0.01984126984126984,0.04365079365079365,0.8908730158730159
