,affected_individuals,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,other_relevant_information,not_humanitarian
affected_individuals,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285
infrastructure_and_utility_damage,0.0,0.9230769230769231,0.02564102564102564,0.01282051282051282,0.038461538461538464
rescue_volunteering_or_donation_effort,0.0,0.015873015873015872,0.873015873015873,0.007936507936507936,0.10317460317460317
other_relevant_information,0.0,0.00851063829787234,0.00425531914893617,0.8936170212765957,0.09361702127659574
not_humanitarian,0.007936507936507936,0.001984126984126984,0.01984126984126984,0.04563492063492063,0.9246031746031746
