seed,accuracy,weighted_f1,macro_f1,precision,recall,selected_epoch,selection,test_accuracy,test_weighted_f1,test_macro_f1,test_precision,test_recall
3407,0.9005025125628141,0.8997804069948664,0.8520261212439137,0.9006603799551589,0.9005025125628141,13,best_weighted_f1,0.9105263157894737,0.9091174156413597,0.8028716185102457,0.9095223754699167,0.9105263157894737
42,0.8994974874371859,0.8988467896991437,0.8483219741761326,0.8997543515117805,0.8994974874371859,10,best_weighted_f1,0.9084210526315789,0.9073810748463265,0.8407778577508924,0.9087039507044382,0.9084210526315789
2024,0.8994974874371859,0.8988796530859589,0.8484420989586976,0.8997712287599267,0.8994974874371859,13,best_weighted_f1,0.911578947368421,0.91111019919242,0.8682327026032123,0.911840558073783,0.911578947368421
