seed,comparison,accuracy_wo_kd,accuracy_logits_kd,accuracy_delta,weighted_f1_wo_kd,weighted_f1_logits_kd,weighted_f1_delta,macro_f1_wo_kd,macro_f1_logits_kd,macro_f1_delta,precision_wo_kd,precision_logits_kd,precision_delta,recall_wo_kd,recall_logits_kd,recall_delta
3407,logits_kd_minus_wo_kd,0.8905263157894737,0.9063157894736842,0.015789473684210464,0.9005656322866731,0.9068983292545044,0.006332696967831342,0.7545832002486943,0.8412806397012769,0.08669743945258257,0.9139665227656684,0.9078459561733383,-0.006120566592330068,0.8905263157894737,0.9063157894736842,0.015789473684210464
42,logits_kd_minus_wo_kd,0.8663157894736843,0.9052631578947369,0.03894736842105262,0.8882860782910089,0.9058158573505775,0.01752977905956854,0.7516408932450542,0.8265633761880913,0.07492248294303705,0.9203108398323266,0.9077085249858556,-0.012602314846471008,0.8663157894736843,0.9052631578947369,0.03894736842105262
2024,logits_kd_minus_wo_kd,0.8863157894736842,0.9094736842105263,0.023157894736842155,0.898105904857359,0.9097570004159196,0.011651095558560587,0.7708275828731949,0.8671505174921565,0.09632293461896169,0.9143415104181594,0.9104160205127427,-0.003925489905416635,0.8863157894736842,0.9094736842105263,0.023157894736842155
