condition,seed,checkpoint,accuracy,weighted_f1,macro_f1,precision,recall
wo_kd,3407,best_weighted_f1.pt,0.8905263157894737,0.9005656322866731,0.7545832002486943,0.9139665227656684,0.8905263157894737
wo_kd,42,best_weighted_f1.pt,0.8663157894736843,0.8882860782910089,0.7516408932450542,0.9203108398323266,0.8663157894736843
wo_kd,2024,best_weighted_f1.pt,0.8863157894736842,0.898105904857359,0.7708275828731949,0.9143415104181594,0.8863157894736842
logits_kd,3407,best_weighted_f1.pt,0.9063157894736842,0.9068983292545044,0.8412806397012769,0.9078459561733383,0.9063157894736842
logits_kd,42,best_weighted_f1.pt,0.9052631578947369,0.9058158573505775,0.8265633761880913,0.9077085249858556,0.9052631578947369
logits_kd,2024,best_weighted_f1.pt,0.9094736842105263,0.9097570004159196,0.8671505174921565,0.9104160205127427,0.9094736842105263
